u,v
-200.917,-117.606
205.934,124.329
-205.934,-124.329
210.952,131.053
-210.952,-131.053
215.963,137.767
-215.963,-137.767
220.981,144.49
-220.981,-144.49
225.999,151.214
-225.999,-151.214
231.01,157.928
-231.01,-157.928
236.028,164.651
-236.028,-164.651
241.045,171.375
-241.045,-171.375
246.057,178.089
-246.057,-178.089
251.074,184.812
-251.074,-184.812
256.092,191.535
-256.092,-191.535
261.103,198.25
-261.103,-198.25
266.121,204.973
-266.121,-204.973
271.139,211.696
-271.139,-211.696
276.15,218.411
-276.15,-218.411
281.168,225.134
-281.168,-225.134
286.186,231.857
-286.186,-231.857
291.197,238.572
-291.197,-238.572
296.215,245.295
-296.215,-245.295
301.233,252.018
-301.233,-252.018
306.244,258.732
-306.244,-258.732
-96.6519,-458.872
96.6519,458.872
339.535,-201.158
-339.535,201.158
837.468,461.464
-837.468,-461.464
1095.5,810.521
-1095.5,-810.521
1194.18,945.248
-1194.18,-945.248
1287.37,1066.91
-1287.37,-1066.91
1216.64,1177.04
-1216.64,-1177.04
1101.31,1364.04
-1101.31,-1364.04
1043.5,1463.3
-1043.5,-1463.3
995.872,1534.78
-995.872,-1534.78
913.179,1678.75
-913.179,-1678.75
798.112,1874.01
-798.112,-1874.01
497.896,1415.84
-497.896,-1415.84
-357.735,221.091
357.735,-221.091
-406.243,320.739
406.243,-320.739
1.65412,-2.75417
-1.65412,2.75417
3.30825,-5.50834
-3.30825,5.50834
4.96239,-8.26251
-4.96239,8.26251
6.61653,-11.0167
-6.61653,11.0167
8.27068,-13.7708
-8.27068,13.7708
9.92484,-16.525
-9.92484,16.525
11.579,-19.2792
-11.579,19.2792
13.2332,-22.0333
-13.2332,22.0333
14.8873,-24.7875
-14.8873,24.7875
16.5415,-27.5417
-16.5415,27.5417
18.1957,-30.2958
-18.1957,30.2958
19.8499,-33.05
-19.8499,33.05
21.5041,-35.8042
-21.5041,35.8042
23.1583,-38.5583
-23.1583,38.5583
24.8125,-41.3125
-24.8125,41.3125
26.4693,-44.0709
-26.4693,44.0709
44.6661,-74.3666
-44.6661,74.3666
46.3204,-77.1207
-46.3204,77.1207
47.9747,-79.8748
-47.9747,79.8748
49.629,-82.629
-49.629,82.629
51.2833,-85.3831
-51.2833,85.3831
52.9376,-88.1373
-52.9376,88.1373
59.555,-99.1538
-59.555,99.1538
66.1724,-110.17
-66.1724,110.17
67.8268,-112.925
-67.8268,112.925
69.4811,-115.679
-69.4811,115.679
71.1355,-118.433
-71.1355,118.433
72.7899,-121.187
-72.7899,121.187
74.4443,-123.941
-74.4443,123.941
81.062,-134.958
-81.062,134.958
82.7164,-137.712
-82.7164,137.712
84.3708,-140.466
-84.3708,140.466
86.0253,-143.22
-86.0253,143.22
87.6797,-145.974
-87.6797,145.974
89.3342,-148.728
-89.3342,148.728
90.9886,-151.482
-90.9886,151.482
92.6457,-154.241
-92.6457,154.241
94.3001,-156.995
-94.3001,156.995
95.9546,-159.749
-95.9546,159.749
97.6091,-162.503
-97.6091,162.503
99.2636,-165.257
-99.2636,165.257
100.918,-168.011
-100.918,168.011
102.573,-170.765
-102.573,170.765
104.227,-173.519
-104.227,173.519
105.882,-176.274
-105.882,176.274
53.8128,-74.5372
-53.8128,74.5372
58.8302,-67.8138
-58.8302,67.8138
63.8475,-61.0905
-63.8475,61.0905
68.8649,-54.3672
-68.8649,54.3672
73.8759,-47.6524
-73.8759,47.6524
78.8933,-40.9291
-78.8933,40.9291
83.9108,-34.2058
-83.9108,34.2058
88.9218,-27.4911
-88.9218,27.4911
93.9392,-20.7678
-93.9392,20.7678
98.9567,-14.0445
-98.9567,14.0445
103.968,-7.32979
-103.968,7.32979
108.985,-0.606488
-108.985,0.606488
114.003,6.11681
-114.003,-6.11681
119.014,12.8315
-119.014,-12.8315
124.031,19.5548
-124.031,-19.5548
129.049,26.278
-129.049,-26.278
134.06,32.9927
-134.06,-32.9927
139.077,39.716
-139.077,-39.716
144.095,46.4392
-144.095,-46.4392
149.106,53.1539
-149.106,-53.1539
154.124,59.8771
-154.124,-59.8771
159.141,66.6004
-159.141,-66.6004
164.152,73.315
-164.152,-73.315
169.17,80.0383
-169.17,-80.0383
174.187,86.7615
-174.187,-86.7615
179.199,93.4761
-179.199,-93.4761
184.216,100.199
-184.216,-100.199
189.234,106.923
-189.234,-106.923
194.245,113.637
-194.245,-113.637
199.263,120.36
-199.263,-120.36
204.28,127.084
-204.28,-127.084
209.298,133.807
-209.298,-133.807
214.309,140.521
-214.309,-140.521
219.327,147.245
-219.327,-147.245
224.344,153.968
-224.344,-153.968
229.356,160.682
-229.356,-160.682
234.373,167.406
-234.373,-167.406
239.391,174.129
-239.391,-174.129
244.402,180.843
-244.402,-180.843
249.42,187.566
-249.42,-187.566
254.438,194.29
-254.438,-194.29
259.449,201.004
-259.449,-201.004
264.467,207.727
-264.467,-207.727
269.485,214.45
-269.485,-214.45
274.496,221.165
-274.496,-221.165
279.514,227.888
-279.514,-227.888
284.532,234.611
-284.532,-234.611
289.543,241.326
-289.543,-241.326
294.561,248.049
-294.561,-248.049
299.579,254.772
-299.579,-254.772
304.59,261.486
-304.59,-261.486
-98.306,-456.118
98.306,456.118
337.881,-198.404
-337.881,198.404
835.814,464.218
-835.814,-464.218
1093.85,813.275
-1093.85,-813.275
1192.52,948.002
-1192.52,-948.002
1285.72,1069.66
-1285.72,-1069.66
1214.99,1179.79
-1214.99,-1179.79
1099.66,1366.79
-1099.66,-1366.79
1041.85,1466.05
-1041.85,-1466.05
994.218,1537.54
-994.218,-1537.54
911.525,1681.5
-911.525,-1681.5
796.458,1876.76
-796.458,-1876.76
496.242,1418.59
-496.242,-1418.59
-359.389,223.845
359.389,-223.845
-407.897,323.493
407.897,-323.493
1.65413,-2.75417
-1.65413,2.75417
3.30827,-5.50834
-3.30827,5.50834
4.96241,-8.26251
-4.96241,8.26251
6.61656,-11.0167
-6.61656,11.0167
8.27072,-13.7708
-8.27072,13.7708
9.92488,-16.525
-9.92488,16.525
11.579,-19.2792
-11.579,19.2792
13.2332,-22.0333
-13.2332,22.0333
14.8874,-24.7875
-14.8874,24.7875
16.5416,-27.5417
-16.5416,27.5417
18.1958,-30.2958
-18.1958,30.2958
19.85,-33.05
-19.85,33.05
21.5042,-35.8041
-21.5042,35.8041
23.1584,-38.5583
-23.1584,38.5583
24.8152,-41.3167
-24.8152,41.3167
43.012,-71.6124
-43.012,71.6124
44.6663,-74.3665
-44.6663,74.3665
46.3206,-77.1207
-46.3206,77.1207
47.9749,-79.8748
-47.9749,79.8748
49.6292,-82.629
-49.6292,82.629
51.2835,-85.3831
-51.2835,85.3831
